Time_exp,Angle_exp,Y_Position_exp,Angular_Velocity_exp,Time_theo,Angle_theo,Y_Position_theo,Angular_Velocity_theo
0.0,0.546082346363355,-0.8488560939475109,-0.20874841784496054,0.0,0.5235987755982988,-0.8660254037844387,0.0
0.02004008016032064,0.5418990113364018,-0.8517508535583938,-0.08072872358400751,0.02004008016032064,0.5226157800282073,-0.8665164830787245,-0.0980423410360145
0.04008016032064128,0.5428467261796271,-0.8576118592616473,0.010906141769840616,0.04008016032064128,0.5196727656236402,-0.8679817294727283,-0.1955543706775468
0.06012024048096192,0.5423361312470167,-0.8636455345200197,-0.3996076144317815,0.06012024048096192,0.5147836917163047,-0.8703992413049078,-0.2922038191746241
0.08016032064128256,0.5268303889278524,-0.8603247120403718,-0.598332770637299,0.08016032064128256,0.5079691622556265,-0.8737341160128712,-0.38765980175573317
0.1002004008016032,0.5183548578747803,-0.8660874034931466,-0.2385142604115451,0.1002004008016032,0.49925639744861294,-0.8779388212838987,-0.4815929732863745
0.12024048096192384,0.5172706991317985,-0.868573659806192,-0.4212897558731328,0.12024048096192384,0.48867919938276316,-0.8829536917719534,-0.5736757693978579
0.1402805611222445,0.5014694969179413,-0.8755393666960163,-0.8790485799727179,0.1402805611222445,0.4762779156399127,-0.888707555690042,-0.6635827572038477
0.16032064128256512,0.4820382911168599,-0.8797134275946064,-0.7243527540262757,0.16032064128256512,0.46209938674539214,-0.8951185047975208,-0.7509912383806462
0.18036072144288576,0.4724373224078701,-0.8943691905439786,-0.7638202662862241,0.18036072144288576,0.4461968897315434,-0.9020948083872145,-0.8355819313626515
0.2004008016032064,0.4514242523879532,-0.8922264794430784,-0.9539678096921023,0.2004008016032064,0.4286300566580321,-0.9095359859282818,-0.9170399438821485
0.22044088176352705,0.4342021396546796,-0.9052358918242095,-0.7990224393727843,0.22044088176352705,0.4094647753452152,-0.9173340369846807,-0.9950559268116238
0.24048096192384769,0.4193993049181022,-0.9034493919499534,-1.121573234082394,0.24048096192384769,0.3887730711965639,-0.9253748276997055,-1.069327377670335
0.2605210420841683,0.3892493046213171,-0.9249674729341342,-1.2353967566027233,0.2605210420841683,0.36663294172830385,-0.9335396386062583,-1.1395602858424767
0.280561122244489,0.36988440485386476,-0.9205368287386481,-0.865536583759102,0.280561122244489,0.34312818907171194,-0.9417068438619063,-1.2054707468448282
0.3006012024048096,0.35455845958087223,-0.9358305491267249,-0.9842515298402379,0.3006012024048096,0.3183481730578794,-0.9497537323566321,-1.2667869895276211
0.32064128256513025,0.3304354457420315,-0.9475030282753972,-0.9976919694782245,0.32064128256513025,0.29238757836190343,-0.9575584115682652,-1.323251248906558
0.3406813627254509,0.31457080549356864,-0.9538336717846883,-1.1228588285588685,0.3406813627254509,0.2653460794426685,-0.9650018016745517,-1.3746219977047431
0.3607214428857715,0.2854310838759446,-0.9598538458641529,-1.3751657094024834,0.3607214428857715,0.2373280287819755,-0.9719696412747739,-1.4206759533935285
0.3807615230460922,0.2594539433932687,-0.962573649556665,-0.882489734723868,0.3807615230460922,0.20844203558278618,-0.9783545007350829,-1.4612103016960412
0.4008016032064128,0.2500607538268918,-0.9680706471215641,-1.0444444136858229,0.4008016032064128,0.17880056651680548,-0.9840577191027878,-1.496044658771239
0.42084168336673344,0.21759244384674264,-0.9790441961609702,-1.3758365450593715,0.42084168336673344,0.14851944986320875,-0.9889912447955905,-1.5250230562044067
0.4408817635270541,0.19491700452591493,-0.9812508609942183,-1.3551349720879253,0.4408817635270541,0.11771738867460306,-0.9930793056352462,-1.548015646249871
0.4609218436873747,0.16327841690935094,-0.974805297410429,-1.28133013872166,0.4609218436873747,0.08651540949421524,-0.9962598757097229,-1.5649202383565275
0.48096192384769537,0.1435610871422813,-0.9806819917666562,-1.0082603092290512,0.48096192384769537,0.05503629811607787,-0.9984858851897984,-1.575663533881228
0.501002004008016,0.12286718207051125,-0.9903475202409883,-1.2658989857204133,0.501002004008016,0.02340401786077083,-0.9997261384749218,-1.580202052604756
0.5210420841683366,0.09282365284486993,-0.9949550438753285,-1.1432844577582268,0.5210420841683366,-0.00825691186149995,-0.999965911896924,-1.5785227226845053
0.5410821643286573,0.07704415771146404,-0.996576234368119,-1.0896202162099975,0.5410821643286573,-0.039822000607143415,-0.9992072089089262,-1.5706431049508849
0.561122244488978,0.04915149989056137,-0.9955726623817558,-1.2195494604638994,0.561122244488978,-0.07116743573924658,-0.9974686667079938,-1.5566112409193116
0.5811623246492986,0.02816441981711933,-1.0046752371462833,-1.1106899629255877,0.5811623246492986,-0.10217064609016142,-0.9947851183508316,-1.5365051585853577
0.6012024048096192,0.00463486810997679,-1.0012576720385968,-0.8138164132038488,0.6012024048096192,-0.13271094230356686,-0.9912068198688744,-1.510431985477686
0.6212424849699398,-0.004453472495660046,-1.008248873104283,-0.975290466250199,0.6212424849699398,-0.1626700382487142,-0.9867983791546667,-1.4785267920844478
0.6412825651302605,-0.03445493013652421,-0.9974126944942057,-1.375981140038232,0.6412825651302605,-0.19193264815936226,-0.9816374035931015,-1.4409510779357133
0.6613226452905812,-0.059603017186571204,-0.9952893524643516,-0.8700841305162671,0.6613226452905812,-0.2203869483079424,-0.9758129326892484,-1.3978910800241426
0.6813627254509018,-0.069328041580062,-0.9997203711254381,-0.9535194301214422,0.6813627254509018,-0.24792510278016278,-0.969423673450151,-1.3495558099817888
0.7014028056112224,-0.09782022881468495,-0.9879271003444716,-0.9661233457668266,0.7014028056112224,-0.2744436533634372,-0.9625761228998089,-1.296175010703418
